36196,2071,4108,583,125,353,2424,568,200
25047,1121,3342,426,266,245,1991,336,108
21909,935,2231,290,267,214,1599,244,82
15212,725,1667,206,59,161,1251,367,45
13861,618,964,110,33,122,1013,196,32
11861,560,1212,114,55,80,1065,307,34
17354,739,1938,144,54,125,1151,402,39
23442,1373,1924,217,86,278,1695,632,109
31907,2272,3445,368,174,433,2141,780,199
36391,1974,3518,449,222,472,2257,1065,417
42539,2286,4888,601,248,470,2786,1177,167
33887,1954,4342,455,175,350,2286,895,299
49530,2787,6229,524,242,412,3229,1511,518
49405,2514,4518,665,262,457,3212,878,281
49154,2594,7032,743,199,375,2771,1729,297
49203,2566,5791,614,243,403,2814,1310,202
31502,1681,3206,461,211,234,1685,1069,98
47621,3145,4963,447,183,468,3124,1676,241
49943,2763,7477,427,142,307,2686,1406,484
50117,2829,7340,667,226,609,3487,1482,219
56559,3465,6468,785,385,634,3693,1481,422
18685,1485,3106,319,240,174,1935,597,119
55117,4211,6481,1669,385,616,4409,1473,319
46281,3370,6088,853,432,642,5057,1233,274
37531,2678,4482,989,198,586,4333,849,80
25464,1867,2735,406,153,282,2282,480,79
17963,1008,1198,325,126,169,1699,287,40
14638,582,876,151,183,182,1262,221,34
12610,597,800,108,90,179,1223,203,14
11893,608,854,152,146,188,1161,273,25
20287,1309,2036,254,166,204,2172,722,67
25078,1663,3350,246,114,285,2539,761,116
34717,2414,5588,366,131,358,3659,1162,200
45247,3916,8127,603,296,559,6564,1238,202
52271,3390,8865,856,285,460,7701,1464,172
55807,3759,15359,577,268,430,6164,1240,255
56390,3582,8740,582,204,504,8938,1130,232
54904,4384,9248,541,299,392,4865,1342,313
56351,3557,10561,445,257,500,4586,2521,334
44669,3044,8243,485,170,294,4201,947,274
54495,4165,12153,480,188,692,5319,1236,361
59604,4089,10641,456,187,581,4490,1531,295
24565,2026,4235,171,86,249,1689,699,180
28321,2186,5627,372,99,335,2057,866,179
65870,4806,9540,752,275,530,9609,3451,488
55791,2352,4517,574,215,334,5184,3439,506
30227,1010,2342,467,98,288,4180,1572,318
62444,2211,4121,4760,168,427,6752,3023,374
46680,2083,3574,1943,208,443,3581,3112,354
32225,1401,2870,1042,126,261,2184,1925,322
19135,852,1035,680,58,145,1429,759,156
19194,700,784,459,56,142,2182,1212,106
15630,563,703,348,17,122,1534,839,86
15077,559,612,478,45,132,1293,904,93
21362,806,1434,808,67,133,1953,1032,151
28656,1268,2313,1203,98,218,2816,1942,219
36935,1569,2793,1092,110,204,3048,2192,317
39590,1720,2695,978,149,284,3259,1882,256
43020,2096,3458,996,183,276,3303,1816,313
44471,2055,3402,746,171,265,3006,1490,223
41427,2395,3339,704,128,357,3005,1770,180
41682,2770,3474,684,101,463,3663,1711,178
40807,2256,2358,731,137,243,2983,1040,177
42888,2658,2841,834,147,263,3690,945,118
44544,3188,3272,755,170,254,4077,1280,110
45959,3497,3153,946,129,247,4049,1074,161
51866,3792,4063,1506,210,287,4070,1843,141
58659,3713,4570,923,165,363,3907,1636,141
54524,3932,3433,1638,146,385,4095,1391,116
49441,3584,3984,2426,145,435,3835,1255,69
46849,2854,3251,1242,249,519,4720,1570,113
45266,2399,2980,897,161,412,5511,1094,81
32698,1945,1957,583,91,309,2858,691,49
22311,1072,1347,346,85,264,2189,575,74
16859,974,1035,214,54,199,1849,569,36
12462,686,614,184,38,125,1624,277,97
10437,686,469,148,100,46,1131,201,30
11935,674,588,111,26,107,1325,269,20
16140,811,683,247,77,117,1637,426,105
21616,1384,1236,300,93,119,2389,941,128
2192,102,99,27,2,16,299,43,18
24767,1971,1349,328,226,187,3916,576,53
34355,2059,3166,359,200,287,3833,622,189
37045,2421,2924,378,236,201,4771,687,363
35455,2276,2904,353,128,323,4360,474,262
35782,2556,2777,459,247,434,2800,591,218
39423,2642,3603,785,188,394,2974,602,288
44778,2781,4783,620,320,434,4947,617,236
40927,2484,5679,680,290,350,4748,546,141
39346,2452,5627,552,254,538,5296,501,94
38751,2547,4901,434,174,284,4880,470,99
42053,2746,6418,413,281,331,4423,700,151
41750,2075,4871,388,208,399,5683,1287,258
41567,2422,4013,588,250,281,6174,845,132
40842,2491,4489,618,341,421,5246,919,177
34428,1949,3342,421,167,395,5856,667,88
32709,1633,2507,359,179,249,9644,537,74
27798,1038,1688,299,120,174,14492,553,56
15971,658,1130,215,59,121,1673,580,38
11357,670,1778,77,51,134,1683,152,22
6655,344,612,113,15,49,747,278,13
10767,470,765,199,27,53,1586,347,22
13247,953,1093,221,53,93,2087,219,36
18074,1150,1538,248,121,143,2483,215,36
29484,1487,3457,217,68,176,4338,320,61
21960,1254,2535,191,72,145,3521,292,58
33717,1534,3423,383,130,303,5014,648,78
18435,796,1994,185,86,176,2172,265,57
31097,1804,3367,288,130,310,2782,700,79
32696,2044,3592,407,144,239,3115,566,47
31259,2446,2713,331,141,225,3272,596,135
31776,2039,2572,349,90,260,4715,584,87
33198,2024,3264,380,171,330,4285,583,85
35820,2318,3245,729,82,325,5576,493,554
33258,2011,3473,599,102,488,4054,646,349
30988,1765,3353,439,54,430,3175,697,276
34573,2298,4134,409,106,409,4585,530,246
36690,2484,3745,299,159,463,3323,546,199
35017,2894,3578,450,162,1067,5455,533,163
34274,2069,3385,394,117,1221,5972,614,243
15502,973,1371,140,82,385,1987,1367,106
21352,1226,1803,176,139,391,2452,291,268
15976,998,1209,423,28,245,2309,223,122
12497,622,973,204,51,209,1890,152,88
8783,511,638,160,30,135,1322,127,64
9209,561,696,229,66,222,1830,122,55
11491,551,828,145,50,201,1868,143,156
18118,833,1157,214,106,343,2310,211,142
23250,1575,2788,328,74,705,3304,316,142
30162,2069,3081,418,177,533,4700,287,193
17103,930,1837,147,68,254,2431,170,101
19627,984,2648,225,56,279,2435,359,195
35577,2456,3243,452,115,432,5952,717,237
37334,1834,3748,418,123,529,6099,770,235
35592,1969,3163,327,88,354,5245,632,198
46100,1989,3004,324,178,319,4084,950,221
39269,2662,3348,279,157,296,3358,1089,198
32188,2259,3243,293,222,270,3633,937,155
34201,2495,4013,393,211,376,4692,1031,170
35471,2115,3966,360,224,371,4518,583,226
35067,2304,3870,450,194,521,4267,699,238
4314,282,404,31,14,84,700,97,8
35566,2175,4028,349,159,341,3899,676,142
38471,1983,3424,327,111,691,4793,821,156
34388,1514,2601,293,131,322,5239,544,108
21008,1395,2683,273,95,364,2304,453,34
17048,990,1705,116,106,203,2097,341,40
13675,560,1020,102,169,153,1473,256,35
10494,546,740,274,33,119,2113,240,31
9920,428,823,100,30,73,1961,168,16
12816,549,901,165,66,101,2766,211,55
17641,806,1978,210,68,152,2658,318,54
24876,1113,2846,166,109,221,3471,376,58
36935,1573,3357,262,87,339,4732,764,199
38303,1975,4255,455,180,479,6481,954,160
41806,2180,4737,443,146,473,6332,1094,188
42613,1985,3716,380,165,447,6384,1003,143
39873,2232,4413,743,141,474,4260,831,118
38852,2256,4164,464,87,352,3582,687,102
36723,3116,3912,587,191,374,3065,671,100
36436,2809,5575,663,137,428,3556,957,120
38397,2502,5362,849,91,291,3932,784,112
38889,3136,5808,555,70,283,3074,587,74
40089,3040,5750,401,85,263,4105,659,304
40981,2737,6009,320,206,281,5863,983,212
24877,1982,3168,220,226,201,2387,822,72
43335,3160,6050,394,241,356,4466,1245,138
14206,1232,1890,224,56,135,1422,421,46
29202,2115,3418,299,170,411,3019,843,97
20767,1477,2975,253,79,146,1803,469,32
19246,835,1512,410,45,130,1492,284,38
13029,782,1014,236,75,68,1598,267,16
10817,504,778,96,42,49,1744,211,18
11465,574,745,77,15,77,2945,182,34
15686,910,1145,119,52,96,1807,260,40
23061,1303,2137,137,83,240,2397,473,96
32101,1830,3213,156,105,252,3148,942,147
40026,2184,4303,232,311,180,4010,1020,158
44134,2179,4997,233,157,261,4032,936,90
45316,2510,5740,339,179,296,4613,955,192
43575,2367,5662,454,148,245,3195,911,179
43437,2051,5611,580,128,262,3645,787,116
46051,2335,5597,490,193,299,8581,896,229
45584,2043,6395,430,409,359,4625,1129,283
45449,2644,5256,485,603,544,3738,1325,153
38266,2408,3828,303,250,223,3048,1483,163
46827,2980,5291,399,244,344,4616,1315,184
53059,3641,5394,365,268,401,5148,1340,197
53283,3086,5862,537,258,419,4004,1289,195
47992,2880,4100,466,261,392,4017,1270,206
47620,3125,5873,551,174,405,3641,1655,189
41437,2498,4520,423,143,368,3614,1397,188
30483,1764,2911,336,79,249,3755,906,78
23398,1417,2037,237,101,121,3202,672,76
19020,1148,1237,179,51,151,2356,380,44
13745,637,992,233,60,63,2289,201,26
10751,578,682,71,22,52,2413,150,40
11124,648,745,89,35,47,1147,285,32
