36196,2071,4108,583,125,353,2424,568,200
25047,1121,3342,426,266,245,1991,336,108
21909,935,2231,290,267,214,1599,244,82
15212,725,1667,206,59,161,1251,367,45
13861,618,964,110,33,122,1013,196,32
11861,560,1212,114,55,80,1065,307,34
17354,739,1938,144,54,125,1151,402,39
23442,1373,1924,217,86,278,1695,632,109
31907,2272,3445,368,174,433,2141,780,199
36391,1974,3518,449,222,472,2257,1065,417
42539,2286,4888,601,248,470,2786,1177,167
33887,1954,4342,455,175,350,2286,895,299
49530,2787,6229,524,242,412,3229,1511,518
49405,2514,4518,665,262,457,3212,878,281
49154,2594,7032,743,199,375,2771,1729,297
49203,2566,5791,614,243,403,2814,1310,202
31502,1681,3206,461,211,234,1685,1069,98
47621,3145,4963,447,183,468,3124,1676,241
49943,2763,7477,427,142,307,2686,1406,484
50117,2829,7340,667,226,609,3487,1482,219
56559,3465,6468,785,385,634,3693,1481,422
18685,1485,3106,319,240,174,1935,597,119
55117,4211,6481,1669,385,616,4409,1473,319
46281,3370,6088,853,432,642,5057,1233,274
